iteration:  0 best program: def newfun(image): return image.score(['a large, wheeled cart', 'birds or other animals nesting on the cliff', 'a boot with a high heel and a pointed toe', 'large head with prominent brow ridge', 'a green or blue tubing connected to the mask and tank', 'large, stocky antelope'])  
iteration:  1 best program: def newfun(image): return image.score(['fine hairs or a short fur', 'fish with vertical stripes', 'a marine mollusk', 'small fish', 'a shell with a large siphon', 'soldiers or police officers often wear them']) 
iteration:  154 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  155 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  156 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  157 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  158 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  159 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  160 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  161 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  162 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  163 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  164 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  165 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  166 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  167 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  168 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  169 best program: def newfun(image): return image.score(['a blue-green Chromis', 'a black-nosed butterflyfish', 'a blue-barred parrotfish', 'a trumpetfish', 'a orange-dotted filefish', 'a spotted wrasse']) 
iteration:  170 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  171 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  172 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  173 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  174 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  175 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  176 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  177 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  178 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  179 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  180 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  181 best program: def newfun(image): return image.score(['a female blue-throated parrotfish', 'a school of blue-throated parrotfish', 'a pair of blue-throated parrotfish', 'a blue-throated parrotfish with eggs', 'a male blue-throated parrotfish', 'a juvenile blue-throated parrotfish']) 
iteration:  182 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  183 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  184 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  185 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  186 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  187 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  188 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  189 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  190 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  191 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  192 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  193 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  194 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  195 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  196 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  197 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  198 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
iteration:  199 best program: def newfun(image): return image.score(['a blue-throated parrotfish facing the camera', 'a blue-throated parrotfish swimming towards the camera', 'a blue-throated parrotfish swimming away', 'a blue-throated parrotfish cleaning a shark', 'a blue-throated parrotfish eating coral', 'a blue-throated parrotfish fighting with another parrotfish']) 
